date,mkt_rf
2022-01-03,-0.00015873015873015873
2022-01-04,0.017841633284050615
2022-01-05,-0.0027927193412670363
2022-01-06,-0.004368569637431286
2022-01-07,0.007561176041612638
2022-01-10,-0.011571908697765166
2022-01-11,0.02277341524653118
2022-01-12,-0.0007257279736083927
2022-01-13,0.0068542259416609404
2022-01-14,0.012489142923613894
2022-01-17,0.0034820309544286495
2022-01-18,0.003720668504486024
2022-01-19,-0.0019906727851073617
2022-01-20,-0.01594682097403324
2022-01-21,-0.007438495759522512
2022-01-24,0.018470344254395286
2022-01-25,0.011839853290042867
2022-01-26,-0.0012320825627899718
2022-01-27,0.00021625607775974608
2022-01-28,0.010831535669261294
2022-01-31,0.0021390762146685557
2022-02-01,-0.01270559533625495
2022-02-02,0.014544534568825184
2022-02-03,0.01046905455415823
2022-02-04,0.014398272512818977
2022-02-07,-0.010787882433181318
2022-02-08,-0.00626997959727218
2022-02-09,0.012919842913196344
2022-02-10,-0.011093613519388113
2022-02-11,-0.008827796472595706
2022-02-14,0.0021749213312732604
2022-02-15,0.01158016114598479
2022-02-16,-0.0006187557638999369
2022-02-17,0.0030885511558343733
2022-02-18,-0.013927294503301902
2022-02-21,-0.002657114917603365
2022-02-22,-0.020219644494272295
2022-02-23,-0.0015368407916444232
2022-02-24,0.00516065860186341
2022-02-25,-0.010841133815635918
2022-02-28,0.0032471482894374844
2022-03-01,-0.0038548520285009106
2022-03-02,-0.003994508499982197
2022-03-03,0.007618449072035327
2022-03-04,0.015879239233427354
2022-03-07,0.0005339623943262145
2022-03-08,-0.01548749368755522
2022-03-09,0.0014733139601875494
2022-03-10,-0.018608485910162755
2022-03-11,-0.01458811877108559
2022-03-14,-0.0015840719392523856
2022-03-15,0.01637143393681648
2022-03-16,-0.006413124759785527
2022-03-17,0.01738636567565219
2022-03-18,-0.011851316321103278
2022-03-21,0.009456893065776217
2022-03-22,0.012971599861015681
2022-03-23,-0.017205032036370718
2022-03-24,0.00254466576209964
2022-03-25,0.006403242783347229
2022-03-28,0.001710974983910018
2022-03-29,-0.0024031985348822674
2022-03-30,0.014376071524706413
2022-03-31,0.005696464872990558
2022-04-01,0.013935905047633623
2022-04-04,0.0036520046831734817
2022-04-05,-0.005706909126674398
2022-04-06,-0.0027770346399985883
2022-04-07,0.003742064137433809
2022-04-08,0.000867613538801581
2022-04-11,0.00010988862033998125
2022-04-12,-0.004234710873082715
2022-04-13,0.01312405332289277
2022-04-14,-0.002601535986186643
2022-04-15,0.0034295689359714384
2022-04-18,0.0004936055975209624
2022-04-19,-0.0003279306330412851
2022-04-20,-0.005615605221064657
2022-04-21,0.000618189954255754
2022-04-22,0.0008842875306779069
2022-04-25,-0.01603257940909022
2022-04-26,-0.004394146139867017
2022-04-27,0.019749301185979593
2022-04-28,0.008376408249500011
2022-04-29,-0.0011685182598677685
2022-05-02,-0.01139811723715325
2022-05-03,-0.0070225275477266095
2022-05-04,-0.007241887280627935
2022-05-05,0.018353911776690077
2022-05-06,0.00010792260939238517
2022-05-09,-0.004544033331987074
2022-05-10,0.00451356751376406
2022-05-11,-0.0019026551674268483
2022-05-12,-0.0014690547800482406
2022-05-13,0.0032914648497864626
2022-05-16,-0.0068415808753422794
2022-05-17,0.011980332508340607
2022-05-18,0.009474497178839058
2022-05-19,-0.0016140377464494377
2022-05-20,0.0002475003919529589
2022-05-23,-0.011381606853668869
2022-05-24,-0.007403313237762799
2022-05-25,0.008501058294151908
2022-05-26,0.012791889715677218
2022-05-27,0.00022220159778605308
2022-05-30,-0.005703884770249768
2022-05-31,0.009342266739388627
2022-06-01,0.014302440964003437
2022-06-02,-0.002074861887428248
2022-06-03,0.002018476643852551
2022-06-06,-0.003616427854901261
2022-06-07,0.0058899542659390566
2022-06-08,0.0016354800807013342
2022-06-09,0.008913225979835104
2022-06-10,0.006434153755187166
2022-06-13,0.0010322828643352982
2022-06-14,0.012238708404239995
2022-06-15,-0.0035648418236282845
2022-06-16,-0.0053467710994909105
2022-06-17,-0.00528258087622493
2022-06-20,0.003450878608942531
2022-06-21,-0.007718611370805895
2022-06-22,-0.004244475755841548
2022-06-23,0.01080446551582046
2022-06-24,0.0003456595925209521
2022-06-27,0.003782581020946951
2022-06-28,0.01164201519314143
2022-06-29,0.0009918148858617298
2022-06-30,-0.0016459889158384705
2022-07-01,-0.007989152403665512
2022-07-04,-0.0026835215475639277
2022-07-05,0.002372451936862063
2022-07-06,0.0062096151823348485
2022-07-07,0.007887222541619198
2022-07-08,0.007778212307055865
2022-07-11,-0.0007815476952701911
2022-07-12,0.003313435810634901
2022-07-13,0.0072718457767769525
2022-07-14,0.002065024485943567
2022-07-15,-0.006793317814877931
2022-07-18,-0.00015873015873015873
2022-07-19,0.004308688831235896
2022-07-20,0.002571334293628746
2022-07-21,-5.0014169003193085e-06
2022-07-22,-0.006788733106243639
2022-07-25,0.009631590561962477
2022-07-26,0.0017453452909577999
2022-07-27,-0.0030203249208450526
2022-07-28,-0.014069580251816838
2022-07-29,-0.0030245011392551428
2022-08-01,-0.004681505888515259
