date,ticker,close,volume
2022-01-03,ALPHA,100.0,85438400
2022-01-03,BETA,100.0,58228600
2022-01-03,GAMMA,100.0,19523200
2022-01-03,DELTA,100.0,8827700
2022-01-03,EPSILON,100.0,19612500
2022-01-03,ZETA,100.0,17457100
2022-01-03,ETA,100.0,351066000
2022-01-03,THETA,100.0,221070500
2022-01-04,ALPHA,102.8324,75703700
2022-01-04,BETA,102.763,54995900
2022-01-04,GAMMA,102.8844,23333500
2022-01-04,DELTA,102.8249,6585200
2022-01-04,EPSILON,104.0131,22366200
2022-01-04,ZETA,108.0827,19770700
2022-01-04,ETA,104.0396,354923000
2022-01-04,THETA,100.5737,221923300
2022-01-05,ALPHA,103.0863,77034200
2022-01-05,BETA,102.2556,62401200
2022-01-05,GAMMA,102.6644,23986300
2022-01-05,DELTA,102.5692,9292500
2022-01-05,EPSILON,104.0823,19583800
2022-01-05,ZETA,109.2893,21938500
2022-01-05,ETA,104.118,310490000
2022-01-05,THETA,101.2381,157777300
2022-01-06,ALPHA,99.2304,112117500
2022-01-06,BETA,102.1532,76706000
2022-01-06,GAMMA,104.8888,28131200
2022-01-06,DELTA,103.6038,11054800
2022-01-06,EPSILON,107.8879,35528500
2022-01-06,ZETA,95.9099,25740000
2022-01-06,ETA,101.9877,401277000
2022-01-06,THETA,102.0082,231402800
2022-01-07,ALPHA,100.2539,89113600
2022-01-07,BETA,97.6847,68885100
2022-01-07,GAMMA,104.0577,34854800
2022-01-07,DELTA,102.3948,11687600
2022-01-07,EPSILON,110.1626,32397100
2022-01-07,ZETA,100.8251,50623400
2022-01-07,ETA,105.0798,431324000
2022-01-07,THETA,102.9594,180389000
2022-01-10,ALPHA,99.1907,80962700
2022-01-10,BETA,94.7896,67930800
2022-01-10,GAMMA,101.5889,27194400
2022-01-10,DELTA,100.2093,8381300
2022-01-10,EPSILON,109.7907,25447100
2022-01-10,ZETA,97.8973,39585600
2022-01-10,ETA,101.6315,389168000
2022-01-10,THETA,102.9366,157986300
2022-01-11,ALPHA,102.8404,87754700
2022-01-11,BETA,95.9067,83303400
2022-01-11,GAMMA,105.2066,41381500
2022-01-11,DELTA,101.5345,10029100
2022-01-11,EPSILON,112.4546,27584500
2022-01-11,ZETA,100.3105,43613600
2022-01-11,ETA,105.8635,405044000
2022-01-11,THETA,104.9063,220911100
2022-01-12,ALPHA,103.2609,70790800
2022-01-12,BETA,96.8405,65266100
2022-01-12,GAMMA,106.771,29003900
2022-01-12,DELTA,102.325,8482300
2022-01-12,EPSILON,111.9789,26649100
2022-01-12,ZETA,106.2639,27369800
2022-01-12,ETA,111.3423,504231000
2022-01-12,THETA,104.4728,190284000
2022-01-13,ALPHA,103.721,63896200
2022-01-13,BETA,97.5781,67756600
2022-01-13,GAMMA,109.8387,30467800
2022-01-13,DELTA,102.79,9048700
2022-01-13,EPSILON,115.0234,28684400
2022-01-13,ZETA,105.4476,27033900
2022-01-13,ETA,113.3443,384101000
2022-01-13,THETA,105.4083,167642500
2022-01-14,ALPHA,105.9108,69458900
2022-01-14,BETA,100.5287,103126200
2022-01-14,GAMMA,116.2185,26862000
2022-01-14,DELTA,106.3938,8703700
2022-01-14,EPSILON,114.9368,25423000
2022-01-14,ZETA,109.3248,28669300
2022-01-14,ETA,113.9997,353285000
2022-01-14,THETA,106.1916,183810800
2022-01-17,ALPHA,105.8473,71379600
2022-01-17,BETA,101.697,85254800
2022-01-17,GAMMA,116.4385,30258100
2022-01-17,DELTA,105.9405,11001700
2022-01-17,EPSILON,118.2408,30757700
2022-01-17,ZETA,109.6265,27269500
2022-01-17,ETA,117.6332,551409000
2022-01-17,THETA,106.0851,169400900
2022-01-18,ALPHA,106.9184,57809700
2022-01-18,BETA,102.004,85549400
2022-01-18,GAMMA,119.9218,26329200
2022-01-18,DELTA,107.0914,20200000
2022-01-18,EPSILON,118.4743,22423800
2022-01-18,ZETA,108.5973,21333300
2022-01-18,ETA,120.3975,447287000
2022-01-18,THETA,108.7621,180714100
2022-01-19,ALPHA,107.8547,63646600
2022-01-19,BETA,102.4816,72755000
2022-01-19,GAMMA,117.3918,32602400
2022-01-19,DELTA,106.1265,14292900
2022-01-19,EPSILON,117.0732,21147600
2022-01-19,ZETA,116.6622,29831300
2022-01-19,ETA,126.1185,511102000
2022-01-19,THETA,107.0814,186477000
2022-01-20,ALPHA,107.2754,69672800
2022-01-20,BETA,100.5458,79570400
2022-01-20,GAMMA,116.6707,29116700
2022-01-20,DELTA,105.9289,13392600
2022-01-20,EPSILON,115.0493,20215500
2022-01-20,ZETA,114.2578,30028700
2022-01-20,ETA,123.8031,439624000
2022-01-20,THETA,103.8644,195680300
2022-01-21,ALPHA,107.3231,58280400
2022-01-21,BETA,98.8914,69002700
2022-01-21,GAMMA,114.4952,37000400
2022-01-21,DELTA,108.1725,13303400
2022-01-21,EPSILON,117.7564,28625200
2022-01-21,ZETA,112.8294,28623000
2022-01-21,ETA,119.4429,452932000
2022-01-21,THETA,102.4802,170291900
2022-01-24,ALPHA,109.3859,80223600
2022-01-24,BETA,102.4261,67481500
2022-01-24,GAMMA,118.8585,63191100
2022-01-24,DELTA,113.9502,13092500
2022-01-24,EPSILON,120.5414,28688600
2022-01-24,ZETA,118.3746,35389800
2022-01-24,ETA,127.0946,564967000
2022-01-24,THETA,102.7312,138858100
2022-01-25,ALPHA,111.9565,81760300
2022-01-25,BETA,103.4324,76501100
2022-01-25,GAMMA,119.1885,40005100
2022-01-25,DELTA,116.0079,10487100
2022-01-25,EPSILON,123.9145,27470100
2022-01-25,ZETA,127.5397,31934000
2022-01-25,ETA,136.7412,655163000
2022-01-25,THETA,104.3967,203119200
2022-01-26,ALPHA,113.0831,66435100
2022-01-26,BETA,103.2021,66929500
2022-01-26,GAMMA,117.7218,33078500
2022-01-26,DELTA,113.5782,6945000
2022-01-26,EPSILON,123.8021,21970200
2022-01-26,ZETA,127.6639,40234400
2022-01-26,ETA,137.2542,496204000
2022-01-26,THETA,105.2942,158699100
2022-01-27,ALPHA,112.5516,65799300
2022-01-27,BETA,102.5924,94261600
2022-01-27,GAMMA,118.7729,42330000
2022-01-27,DELTA,110.6952,8967000
2022-01-27,EPSILON,122.3837,26622000
2022-01-27,ZETA,128.143,66526600
2022-01-27,ETA,137.6674,449537000
2022-01-27,THETA,105.8037,192734300
2022-01-28,ALPHA,114.2177,54105100
2022-01-28,BETA,105.7434,68523600
2022-01-28,GAMMA,121.2662,30114000
2022-01-28,DELTA,113.369,7487600
2022-01-28,EPSILON,127.4001,25482100
2022-01-28,ZETA,142.1968,33454500
2022-01-28,ETA,141.0801,489535000
2022-01-28,THETA,106.4578,234815100
2022-01-31,ALPHA,115.7807,70555800
2022-01-31,BETA,105.8116,87775600
2022-01-31,GAMMA,124.9572,33879800
2022-01-31,DELTA,115.5196,7489900
2022-01-31,EPSILON,131.2403,35771900
2022-01-31,ZETA,157.8387,26498900
2022-01-31,ETA,145.0912,542142000
2022-01-31,THETA,106.7164,306590600
2022-02-01,ALPHA,113.456,64015300
2022-02-01,BETA,103.4878,70691900
2022-02-01,GAMMA,122.8917,27226200
2022-02-01,DELTA,112.6947,6729300
2022-02-01,EPSILON,127.1925,28040100
2022-02-01,ZETA,147.8662,25867400
2022-02-01,ETA,136.5204,488611000
2022-02-01,THETA,105.8113,230878800
2022-02-02,ALPHA,114.4795,65874500
2022-02-02,BETA,105.6624,66527300
2022-02-02,GAMMA,126.045,29870700
2022-02-02,DELTA,114.9035,9188700
2022-02-02,EPSILON,128.8445,29842100
2022-02-02,ZETA,153.6865,26541100
2022-02-02,ETA,139.1921,498017000
2022-02-02,THETA,106.4426,196813500
2022-02-03,ALPHA,115.384,77663600
2022-02-03,BETA,107.7687,80450100
2022-02-03,GAMMA,128.5138,35531100
2022-02-03,DELTA,116.7519,8841800
2022-02-03,EPSILON,132.4338,55661000
2022-02-03,ZETA,160.9529,31259900
2022-02-03,ETA,149.2092,660477000
2022-02-03,THETA,106.1612,213806300
2022-02-04,ALPHA,119.6605,118339000
2022-02-04,BETA,112.8214,158154200
2022-02-04,GAMMA,137.998,69883800
2022-02-04,DELTA,125.2499,11822100
2022-02-04,EPSILON,163.2676,150475700
2022-02-04,ZETA,167.0393,39940400
2022-02-04,ETA,154.6666,564276000
2022-02-04,THETA,105.6668,217448300
2022-02-07,ALPHA,122.5801,154357300
2022-02-07,BETA,110.1565,144374800
2022-02-07,GAMMA,126.3627,65309300
2022-02-07,DELTA,121.8089,11501200
2022-02-07,EPSILON,161.3302,76809700
2022-02-07,ZETA,168.5565,29077300
2022-02-07,ETA,150.3277,429366000
2022-02-07,THETA,107.302,232662000
2022-02-08,ALPHA,120.3824,69858300
2022-02-08,BETA,109.4828,81945200
2022-02-08,GAMMA,124.8839,31999600
