update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3751155539277,42313.90000000,10.75600000,42314.00000000,2.90600000,1704067200005,1704067200011
3751155539438,42313.90000000,10.75600000,42314.00000000,2.65800000,1704067200006,1704067200011
3751155539463,42313.90000000,12.10900000,42314.00000000,2.65800000,1704067200006,1704067200013
3751155539535,42313.90000000,12.12000000,42314.00000000,2.65800000,1704067200007,1704067200013
3751155539585,42313.90000000,13.67900000,42314.00000000,2.65800000,1704067200008,1704067200014
3751155539615,42313.90000000,13.69000000,42314.00000000,2.65800000,1704067200008,1704067200016
3751155540066,42313.90000000,13.75500000,42314.00000000,2.65800000,1704067200010,1704067200017
3751155540169,42313.90000000,15.31400000,42314.00000000,2.65800000,1704067200011,1704067200017
3751155540347,42313.90000000,16.66700000,42314.00000000,2.65800000,1704067200012,1704067200019
3751155540502,42313.90000000,16.67400000,42314.00000000,2.65800000,1704067200013,1704067200019
3751155540520,42313.90000000,18.18600000,42314.00000000,2.65800000,1704067200013,1704067200019
3751155540539,42313.90000000,18.18600000,42314.00000000,2.18600000,1704067200013,1704067200020
3751155540554,42313.90000000,18.18900000,42314.00000000,2.18600000,1704067200013,1704067200020
3751155541063,42313.90000000,18.20000000,42314.00000000,2.18600000,1704067200017,1704067200023
3751155541309,42313.90000000,18.20300000,42314.00000000,2.18600000,1704067200019,1704067200026
3751155541372,42313.90000000,18.20300000,42314.00000000,2.19100000,1704067200019,1704067200026
3751155542300,42313.90000000,18.20300000,42314.00000000,0.87500000,1704067200024,1704067200030
3751155542701,42313.90000000,18.26800000,42314.00000000,0.87500000,1704067200027,1704067200033
3751155543148,42313.90000000,18.27100000,42314.00000000,0.87500000,1704067200027,1704067200034
3751155543849,42313.90000000,18.25100000,42314.00000000,0.87500000,1704067200032,1704067200038
3751155543960,42313.90000000,18.24800000,42314.00000000,0.87500000,1704067200033,1704067200038
3751155544127,42313.90000000,18.26800000,42314.00000000,0.87500000,1704067200034,1704067200040
3751155544716,42313.90000000,18.22500000,42314.00000000,2.07500000,1704067200038,1704067200045
3751155545331,42313.90000000,18.38200000,42314.00000000,2.07500000,1704067200042,1704067200048
3751155545345,42313.90000000,18.38200000,42314.00000000,0.87500000,1704067200042,1704067200048
3751155545658,42313.90000000,18.53900000,42314.00000000,0.87500000,1704067200044,1704067200050
3751155545700,42313.90000000,18.69700000,42314.00000000,0.87500000,1704067200044,1704067200050
3751155545835,42313.90000000,18.85200000,42314.00000000,0.87500000,1704067200045,1704067200052
3751155546195,42313.90000000,19.00700000,42314.00000000,0.87500000,1704067200048,1704067200054
3751155546333,42313.90000000,19.15900000,42314.00000000,0.87500000,1704067200049,1704067200055
3751155546424,42313.90000000,19.31100000,42314.00000000,0.87500000,1704067200049,1704067200056
3751156930008,42313.90000000,19.45300000,42314.00000000,0.87500000,1704067201958,1704067202595
3751156930024,42313.90000000,19.61000000,42314.00000000,0.87500000,1704067201958,1704067202595
3751157178079,42313.90000000,19.76700000,42314.00000000,0.87500000,1704067202296,1704067203051
3751157374119,42313.90000000,19.92400000,42314.00000000,0.87500000,1704067202561,1704067203409
3751157794234,42313.90000000,20.07600000,42314.00000000,0.87500000,1704067203131,1704067204174
3751157794895,42313.90000000,20.08000000,42314.00000000,0.87500000,1704067203134,1704067204179
3751157794977,42313.90000000,20.08900000,42314.00000000,0.87500000,1704067203134,1704067204179
3751157795124,42313.90000000,20.08900000,42314.00000000,0.87900000,1704067203135,1704067204180
3751157795384,42313.90000000,20.08900000,42314.00000000,0.04800000,1704067203136,1704067204180
3751157795408,42313.90000000,20.09700000,42314.00000000,0.04800000,1704067203136,1704067204180
3751157796298,42313.90000000,20.09400000,42314.00000000,0.04800000,1704067203139,1704067204186
3751157797129,42313.90000000,20.07900000,42314.00000000,0.04800000,1704067203141,1704067204191
3751157797301,42313.90000000,22.17900000,42314.00000000,0.04300000,1704067203142,1704067204191
3751157798374,42313.90000000,22.15000000,42314.00000000,0.04300000,1704067203146,1704067204194
3751157798425,42313.90000000,22.15000000,42314.00000000,0.04600000,1704067203146,1704067204194
3751157799550,42313.90000000,20.79700000,42314.00000000,0.04600000,1704067203150,1704067204196
3751157799771,42313.90000000,20.80800000,42314.00000000,0.04600000,1704067203151,1704067204196
3751157800897,42313.90000000,20.80800000,42314.00000000,0.05400000,1704067203153,1704067204197
3751157801551,42313.90000000,20.80000000,42314.00000000,0.05400000,1704067203155,1704067204199
3751157801560,42313.90000000,20.77800000,42314.00000000,0.05400000,1704067203155,1704067204199
3751157802152,42313.90000000,20.77700000,42314.00000000,0.05400000,1704067203157,1704067204201
3751157802294,42313.90000000,20.70600000,42314.00000000,0.05400000,1704067203157,1704067204202
3751157802365,42313.90000000,18.99600000,42314.00000000,0.05400000,1704067203158,1704067204202
3751157806462,42313.90000000,18.61200000,42314.00000000,0.05400000,1704067203163,1704067204210
3751157806470,42313.90000000,18.37600000,42314.00000000,0.05400000,1704067203163,1704067204210
3751157808914,42313.90000000,18.37600000,42314.00000000,0.10100000,1704067203171,1704067204216
3751157809794,42313.90000000,18.37600000,42314.00000000,0.08900000,1704067203174,1704067204221
3751157810428,42313.90000000,18.37600000,42314.00000000,0.07000000,1704067203175,1704067204223
3751157810699,42313.90000000,18.42600000,42314.00000000,0.07000000,1704067203176,1704067204223
3751157812536,42313.90000000,18.42100000,42314.00000000,0.07000000,1704067203182,1704067204231
3751157814778,42313.90000000,18.35600000,42314.00000000,0.07000000,1704067203187,1704067204234
3751157814916,42313.90000000,18.38000000,42314.00000000,0.07000000,1704067203188,1704067204235
3751157815096,42313.90000000,18.38300000,42314.00000000,0.07000000,1704067203188,1704067204235
3751157815103,42313.90000000,17.03000000,42314.00000000,0.07000000,1704067203188,1704067204235
3751157815184,42313.90000000,17.03000000,42314.00000000,0.47000000,1704067203188,1704067204236
3751157815201,42313.90000000,17.03000000,42314.00000000,0.49100000,1704067203188,1704067204236
3751157815205,42313.90000000,17.02700000,42314.00000000,0.49100000,1704067203188,1704067204236
3751157815211,42313.90000000,15.46800000,42314.00000000,0.49100000,1704067203188,1704067204236
3751157815681,42313.90000000,13.05800000,42314.00000000,0.49100000,1704067203189,1704067204238
3751157815967,42313.90000000,13.05800000,42314.00000000,0.51200000,1704067203190,1704067204239
3751157815987,42313.90000000,13.01700000,42314.00000000,0.51200000,1704067203190,1704067204239
3751157815988,42313.90000000,12.97600000,42314.00000000,0.51200000,1704067203190,1704067204239
3751157815995,42313.90000000,12.97600000,42314.00000000,0.82500000,1704067203190,1704067204239
3751157816502,42313.90000000,11.66800000,42314.00000000,0.82500000,1704067203191,1704067204240
3751157817138,42313.90000000,8.56100000,42314.00000000,0.82500000,1704067203193,1704067204243
3751157817265,42313.90000000,8.55800000,42314.00000000,0.82500000,1704067203193,1704067204243
3751157817428,42313.90000000,8.54700000,42314.00000000,0.82500000,1704067203194,1704067204243
3751157817448,42313.90000000,8.53600000,42314.00000000,0.82500000,1704067203194,1704067204243
3751157817528,42313.90000000,8.53600000,42314.00000000,0.81800000,1704067203194,1704067204244
3751157817600,42313.90000000,6.97700000,42314.00000000,0.81800000,1704067203194,1704067204244
3751157817607,42313.90000000,6.96600000,42314.00000000,0.81800000,1704067203194,1704067204244
3751157818488,42313.90000000,5.21300000,42314.00000000,0.81800000,1704067203196,1704067204247
3751157818516,42313.90000000,5.21300000,42314.00000000,0.80800000,1704067203196,1704067204247
3751157818853,42313.90000000,5.21600000,42314.00000000,0.80800000,1704067203197,1704067204249
3751157818973,42313.90000000,5.21600000,42314.00000000,0.83200000,1704067203197,1704067204249
3751157819176,42313.90000000,4.41600000,42314.00000000,0.83200000,1704067203198,1704067204249
3751157820310,42313.90000000,4.41600000,42314.00000000,0.82900000,1704067203200,1704067204252
