date,STOCK_01,STOCK_02,STOCK_03,STOCK_04,STOCK_05,STOCK_06,STOCK_07,STOCK_08,STOCK_09,STOCK_10,STOCK_11,STOCK_12,STOCK_13,STOCK_14,STOCK_15
2020-01-02,0.006651176609928145,0.00039377806856234147,0.00469075263894909,-0.012177410317430026,-0.0070303748033392136,0.00756427831853311,-0.011023933088123076,-0.017421201169533683,-0.0020732418469542736,-0.00023708258652744077,-0.0008691850113105939,-0.01278662958398618,0.04003017653620734,0.0050038150230291515,0.014727030925962746
2020-01-03,-0.008328611933231514,0.03669408717362185,0.009594345249458989,0.02683440720966775,-0.010926185232201544,0.00026284459884148435,-0.01257275542602631,-0.00665811686097848,0.0003155747766489628,0.008009041373263174,0.00507611169313813,0.010732501678893324,0.005852132240537539,-0.01175086615802474,-0.015895481085036686
2020-01-06,0.008885629444455234,-0.008526294240318432,0.0024506709066907835,-0.002453160609280951,-0.00972573573046488,0.02962039372436509,0.008659579348352488,-0.00292461888779573,0.008370377752646919,-0.010979984568795315,0.0041129275892568505,-0.009370137535354709,0.023646685559403333,0.004312170209284873,0.009283539427920515
2020-01-07,-0.011893728068877176,-0.013366210147799807,-0.01113296863173864,-0.00330919412934416,0.006455116908622096,0.0041665587345539965,-0.0014611826100341314,-0.01578289880524095,0.0015475121245955561,-0.01450867382305087,-0.003560064715089121,0.0015690271710326112,-0.01655979176224679,-0.004558254951131323,-0.0097030222323612
2020-01-08,-0.004983571055102662,0.030767167351955213,0.008134241877193077,0.007299780808621108,-0.017342617628467987,0.0029506246315747693,-0.02129016513340811,0.007769380783265797,-0.005429099452902245,0.011902610136202505,-0.001036948815366839,0.006797907105918422,-0.00911848200294266,0.0039597531092673095,-0.011439886491563104
2020-01-09,0.001782079336833103,0.02691535090562018,0.007869231645170734,-0.011025396927756512,0.0020630477287411036,-0.0077828484998253645,-0.007222674202115336,-0.004510506180356284,0.0006351553185141729,0.0029539760836325554,-0.003000354289458707,0.019922316308991727,-0.007167239582034984,0.0073307434576801505,-0.013838917820323416
2020-01-10,-0.008072184501404955,-0.015988625472847934,-0.003967267168087069,0.012318850699510024,0.0039861516177874595,0.022192357891069752,0.019237900834539946,0.01018019924985342,0.001384342306898662,0.007172029246611196,0.003024131898751801,0.009449390950835464,0.029241932258552504,-0.00030398140071561796,-0.022242953316530145
2020-01-13,0.006787500685419934,0.021185574614425655,0.014658823766241896,0.0122699763619505,0.027209404884872255,-0.007702900976659815,-0.016698141827004794,0.000979339897012856,0.002483227776044105,0.005053468007221266,0.012634117775534635,0.005523986543890368,0.03986268747347494,0.012141099749731049,0.013861989675750083
2020-01-14,-0.006170798642507495,-0.0017347318891255663,-0.005669736832391345,0.017724422554787355,-0.0003924999443788777,-0.020646513806987073,4.292078983382844e-05,0.027709086913640085,0.016286038141401386,0.0017808286889846158,0.00021841865944035685,-0.004091819675236065,0.02003931259142006,-0.010452346516390147,-0.00442671830454162
2020-01-15,-0.005458654914784375,-0.003134310729647956,0.009167209737176513,-0.014425400384178904,-0.0004089509566478754,-0.009668709654204289,-0.0019093844301970911,0.000602056474352148,-0.011529166704096594,0.004574217987557965,9.60142072404898e-05,0.012487364311065023,-0.006571092741337967,0.00032932905781783435,-0.000574253802945181
2020-01-16,-0.00015351190280958626,0.0010621141198592118,0.009830258616719661,-0.0024795849988146755,0.01199602498996774,-0.014432033394671525,-0.010306273648633684,-0.02109703106372832,-0.002823931912752715,0.005044653642044866,-0.00695402875873103,0.02203964243650096,0.00904607721032446,-0.010313857590915692,-0.015576076089000657
2020-01-17,-0.007923743032142815,0.0018265570729703363,-0.005019659021804077,-0.01462968687727163,-0.026693509395177683,-0.0032218415819017104,-0.005666114275331426,0.006133047203341787,-0.006655974536507888,-0.0025651955297740477,0.0008931626016546848,-0.015429019987432293,-0.010362912690652698,0.015554624415482578,0.009103808650890203
2020-01-20,-0.0015842207177000584,0.012153583683189495,-0.018839697242617737,-0.004554854336528514,0.027136035618446245,0.0314050889213164,-0.0005952484925874953,0.010595394360803118,-0.0077986049563996684,0.0018052065722038437,-0.012690671824681535,0.006481903758348883,-0.010571883743318734,0.002182365314673214,-0.005252201188151616
2020-01-21,0.01250965935559448,0.016714746555515404,0.00218829562626126,0.01391438475610412,-0.01437145736349014,0.0034820139270204356,0.007047628268090351,-0.017620384119199774,-0.014561565935965434,-0.003418992774562586,-0.004874474350669802,0.00305583382980694,-0.0056452847041755455,0.005254400949111269,-0.010103519632080823
2020-01-22,-6.564308691532281e-05,-0.0021098462333008832,0.0027062794339328465,-0.0029922968396739274,0.0024324409748335296,-0.01293030799508126,-0.007079963156826629,-0.016917438827750625,-0.004865806703593397,8.431639701554058e-05,0.008686240333803108,-0.0080847843220364,0.0026342678007033144,-0.0005935296131653612,0.014429023564397677
2020-01-23,0.006118703823015626,-0.00039020537196391065,0.0023006415956568914,0.012139228207039674,-0.0004118432562416372,-0.004264550994870399,5.9182032844226596e-05,0.015564411629186063,0.0038585705065136895,-0.011507688032648043,0.011827851188880108,0.007819404220063685,-0.00243285406239471,-0.006109841610592423,-0.006553938254882666
