datetime,Open,High,Low,Close,Volume
2019-01-02 04:02:00,21.733,21.733,21.677,21.677,18975
2019-01-02 04:03:00,21.705,21.705,21.705,21.705,1500
2019-01-02 04:04:00,21.713,21.713,21.713,21.713,7500
2019-01-02 04:06:00,21.786,21.786,21.786,21.786,6225
2019-01-02 04:11:00,21.805,21.805,21.802,21.802,3000
2019-01-02 04:14:00,21.783,21.783,21.783,21.783,4500
2019-01-02 04:16:00,21.768,21.768,21.768,21.768,7500
2019-01-02 04:18:00,21.765,21.765,21.765,21.765,1500
2019-01-02 04:19:00,21.765,21.765,21.765,21.765,3000
2019-01-02 04:22:00,21.707,21.707,21.707,21.707,2250
2019-01-02 04:31:00,21.711,21.711,21.705,21.705,4500
2019-01-02 04:47:00,21.707,21.707,21.703,21.703,5955
2019-01-02 04:51:00,21.705,21.705,21.705,21.705,3750
2019-01-02 04:53:00,21.733,21.733,21.733,21.733,9690
2019-01-02 05:02:00,21.741,21.741,21.739,21.739,3000
2019-01-02 05:03:00,21.733,21.733,21.733,21.733,7500
2019-01-02 05:04:00,21.766,21.766,21.766,21.766,1500
2019-01-02 05:06:00,21.733,21.733,21.733,21.733,1650
2019-01-02 05:07:00,21.737,21.737,21.737,21.737,1500
2019-01-02 05:22:00,21.798,21.798,21.798,21.798,1500
2019-01-02 05:27:00,21.767,21.767,21.767,21.767,1500
2019-01-02 05:35:00,21.767,21.767,21.767,21.767,1500
2019-01-02 05:46:00,21.799,21.799,21.799,21.799,1500
2019-01-02 06:27:00,21.775,21.775,21.77,21.77,4500
2019-01-02 06:55:00,21.778,21.779,21.773,21.773,6120
2019-01-02 06:59:00,21.749,21.749,21.749,21.749,3000
2019-01-02 07:00:00,21.787,21.8,21.787,21.799,8340
2019-01-02 07:03:00,21.829,21.832,21.829,21.829,7500
2019-01-02 07:05:00,21.83,21.83,21.83,21.83,3585
2019-01-02 07:07:00,21.82,21.831,21.82,21.83,18000
2019-01-02 07:09:00,21.825,21.825,21.825,21.825,7500
2019-01-02 07:11:00,21.825,21.825,21.825,21.825,1500
2019-01-02 07:17:00,21.817,21.82,21.817,21.82,6960
2019-01-02 07:18:00,21.807,21.807,21.807,21.807,1500
2019-01-02 07:23:00,21.81,21.81,21.81,21.81,1500
2019-01-02 07:27:00,21.801,21.801,21.733,21.733,69195
2019-01-02 07:29:00,21.767,21.796,21.767,21.796,3000
2019-01-02 07:33:00,21.767,21.767,21.767,21.767,1500
2019-01-02 07:36:00,21.763,21.763,21.763,21.763,1500
2019-01-02 07:50:00,21.752,21.752,21.752,21.752,4500
2019-01-02 07:52:00,21.744,21.745,21.733,21.745,6000
2019-01-02 07:57:00,21.733,21.733,21.677,21.677,19305
2019-01-02 08:00:00,21.772,21.827,21.72,21.72,58095
2019-01-02 08:05:00,21.675,21.675,21.675,21.675,1500
2019-01-02 08:06:00,21.675,21.675,21.675,21.675,12000
2019-01-02 08:07:00,21.673,21.673,21.673,21.673,1845
2019-01-02 08:08:00,21.673,21.673,21.667,21.667,16605
2019-01-02 08:11:00,21.667,21.667,21.667,21.667,1500
2019-01-02 08:12:00,21.657,21.667,21.64,21.667,18000
2019-01-02 08:13:00,21.667,21.667,21.667,21.667,2250
2019-01-02 08:14:00,21.699,21.7,21.687,21.687,21945
2019-01-02 08:15:00,21.717,21.717,21.717,21.717,3675
2019-01-02 08:17:00,21.69,21.69,21.69,21.69,1500
2019-01-02 08:18:00,21.69,21.707,21.69,21.707,10500
2019-01-02 08:20:00,21.69,21.69,21.69,21.69,4500
2019-01-02 08:21:00,21.69,21.69,21.69,21.69,1500
2019-01-02 08:23:00,21.671,21.671,21.671,21.671,1500
2019-01-02 08:24:00,21.642,21.642,21.642,21.642,1500
2019-01-02 08:26:00,21.641,21.641,21.585,21.6,115275
2019-01-02 08:27:00,21.59,21.6,21.59,21.6,30750
2019-01-02 08:28:00,21.6,21.6,21.596,21.596,6450
2019-01-02 08:29:00,21.555,21.555,21.555,21.555,23625
2019-01-02 08:30:00,21.593,21.593,21.593,21.593,1500
2019-01-02 08:31:00,21.596,21.629,21.596,21.629,4500
2019-01-02 08:32:00,21.633,21.633,21.633,21.633,3840
2019-01-02 08:33:00,21.655,21.667,21.6,21.667,100920
2019-01-02 08:34:00,21.627,21.667,21.267,21.285,192855
2019-01-02 08:35:00,21.268,21.268,21.029,21.039,164070
2019-01-02 08:36:00,21.067,21.237,21.067,21.169,76200
2019-01-02 08:37:00,21.136,21.207,21.136,21.2,12000
2019-01-02 08:38:00,21.233,21.499,21.233,21.411,89850
